0: x: -0.625862, y: -0.383212, zNormal: 0.457151
1: x: -0.7, y: -0.421287, zNormal: 0.761617
2: x: -0.687883, y: -0.414922, zNormal: 0.666143
3: x: -0.666969, y: -0.385863, zNormal: 0.569096
4: x: -0.682191, y: -0.356368, zNormal: 0.524496
5: x: -0.646718, y: -0.372524, zNormal: 0.493158
6: x: -0.660658, y: -0.3537, zNormal: 0.432658
7: x: -0.654802, y: -0.349782, zNormal: 0.367859
8: x: -0.747936, y: -0.429846, zNormal: -0.867128
9: x: -0.722381, y: -0.414995, zNormal: -0.7825
10: x: -0.735606, y: -0.399669, zNormal: 0.720875
11: x: -0.711463, y: -0.410977, zNormal: 0.68186
12: x: -0.714376, y: -0.379417, zNormal: 0.595511
13: x: -0.712153, y: -0.346995, zNormal: 0.502781
14: x: -0.702522, y: -0.339722, zNormal: 0.430757
15: x: -0.696293, y: -0.33474, zNormal: 0.309489
16: x: -0.792846, y: -0.451205, zNormal: -0.912572
17: x: -0.788118, y: -0.444698, zNormal: -0.892386
18: x: -0.773404, y: -0.412778, zNormal: -0.790808
19: x: -0.770537, y: -0.387522, zNormal: 0.692699
20: x: -0.762963, y: -0.374391, zNormal: 0.628364
21: x: -0.757185, y: -0.332583, zNormal: 0.473657
22: x: -0.747561, y: -0.319827, zNormal: 0.411443
23: x: -0.744277, y: -0.314682, zNormal: 0.275184
24: x: -0.752991, y: -0.30744, zNormal: 0.212029
25: x: -0.842927, y: -0.444435, zNormal: -0.910069
26: x: -0.842314, y: -0.417494, zNormal: -0.873213
27: x: -0.823961, y: -0.412187, zNormal: -0.832484
28: x: -0.823014, y: -0.371536, zNormal: -0.714456
29: x: -0.809016, y: -0.359793, zNormal: 0.604339
30: x: -0.805811, y: -0.316344, zNormal: 0.482731
31: x: -0.792979, y: -0.299565, zNormal: 0.402498
32: x: -0.801396, y: -0.285311, zNormal: 0.357515
33: x: -0.77505, y: -0.294224, zNormal: 0.273179
34: x: -0.780496, y: -0.284979, zNormal: 0.242217
35: x: -0.762998, y: -0.29368, zNormal: 0.203081
36: x: -0.769256, y: -0.284528, zNormal: 0.163114
37: x: -0.912334, y: -0.48989, zNormal: -0.989476
38: x: -0.900333, y: -0.454602, zNormal: -0.965925
39: x: -0.877405, y: -0.406905, zNormal: -0.883809
40: x: -0.879278, y: -0.371573, zNormal: -0.812796
41: x: -0.90534, y: -0.468755, zNormal: -0.964205
42: x: -0.855738, y: -0.41727, zNormal: -0.854152
43: x: -0.864249, y: -0.350916, zNormal: 0.710062
44: x: -0.860795, y: -0.34837, zNormal: 0.600777
45: x: -0.853378, y: -0.301795, zNormal: 0.495883
46: x: -0.846066, y: -0.283842, zNormal: 0.355772
47: x: -0.845051, y: -0.278348, zNormal: 0.357543
48: x: -0.84005, y: -0.283005, zNormal: 0.235192
49: x: -0.852184, y: -0.271375, zNormal: 0.222315
50: x: -0.824358, y: -0.282645, zNormal: 0.15614
51: x: -0.831966, y: -0.273419, zNormal: 0.157476
52: x: -0.848345, y: -0.268817, zNormal: 0.144284
53: x: -0.932263, y: -0.495868, zNormal: -0.992154
54: x: -0.925661, y: -0.462199, zNormal: -0.984075
55: x: -0.934504, y: -0.382808, zNormal: -0.911217
56: x: -0.920321, y: -0.353292, zNormal: -0.829363
57: x: -0.918052, y: -0.326249, zNormal: -0.749518
58: x: -0.906862, y: -0.334636, zNormal: 0.695333
59: x: -0.919599, y: -0.318139, zNormal: 0.697863
60: x: -0.918618, y: -0.327601, zNormal: 0.59529
61: x: -0.900574, y: -0.292347, zNormal: 0.48957
