0: x: -0.625862, y: -0.383212, xCell: 2, yCell: 3
1: x: -0.7, y: -0.421287, xCell: 2, yCell: 3
2: x: -0.687883, y: -0.414922, xCell: 2, yCell: 3
3: x: -0.666969, y: -0.385863, xCell: 2, yCell: 3
4: x: -0.682191, y: -0.356368, xCell: 2, yCell: 3
5: x: -0.646718, y: -0.372524, xCell: 2, yCell: 3
6: x: -0.660658, y: -0.3537, xCell: 2, yCell: 3
7: x: -0.654802, y: -0.349782, xCell: 2, yCell: 3
8: x: -0.747936, y: -0.429846, xCell: 2, yCell: 3
9: x: -0.722381, y: -0.414995, xCell: 2, yCell: 3
10: x: -0.735606, y: -0.399669, xCell: 2, yCell: 3
11: x: -0.711463, y: -0.410977, xCell: 2, yCell: 3
12: x: -0.714376, y: -0.379417, xCell: 2, yCell: 3
13: x: -0.712153, y: -0.346995, xCell: 2, yCell: 3
14: x: -0.702522, y: -0.339722, xCell: 2, yCell: 3
15: x: -0.696293, y: -0.33474, xCell: 2, yCell: 3
16: x: -0.792846, y: -0.451205, xCell: 2, yCell: 3
17: x: -0.788118, y: -0.444698, xCell: 2, yCell: 3
18: x: -0.773404, y: -0.412778, xCell: 2, yCell: 3
19: x: -0.770537, y: -0.387522, xCell: 2, yCell: 3
20: x: -0.762963, y: -0.374391, xCell: 2, yCell: 3
21: x: -0.757185, y: -0.332583, xCell: 2, yCell: 3
22: x: -0.747561, y: -0.319827, xCell: 2, yCell: 3
23: x: -0.744277, y: -0.314682, xCell: 2, yCell: 3
24: x: -0.752991, y: -0.30744, xCell: 2, yCell: 3
25: x: -0.842927, y: -0.444435, xCell: 1, yCell: 3
26: x: -0.842314, y: -0.417494, xCell: 1, yCell: 3
27: x: -0.823961, y: -0.412187, xCell: 2, yCell: 3
28: x: -0.823014, y: -0.371536, xCell: 2, yCell: 3
29: x: -0.809016, y: -0.359793, xCell: 2, yCell: 3
30: x: -0.805811, y: -0.316344, xCell: 2, yCell: 3
31: x: -0.792979, y: -0.299565, xCell: 2, yCell: 3
32: x: -0.801396, y: -0.285311, xCell: 2, yCell: 3
33: x: -0.77505, y: -0.294224, xCell: 2, yCell: 3
34: x: -0.780496, y: -0.284979, xCell: 2, yCell: 3
35: x: -0.762998, y: -0.29368, xCell: 2, yCell: 3
36: x: -0.769256, y: -0.284528, xCell: 2, yCell: 3
37: x: -0.912334, y: -0.48989, xCell: 1, yCell: 3
38: x: -0.900333, y: -0.454602, xCell: 1, yCell: 3
39: x: -0.877405, y: -0.406905, xCell: 1, yCell: 3
40: x: -0.879278, y: -0.371573, xCell: 1, yCell: 3
41: x: -0.90534, y: -0.468755, xCell: 1, yCell: 3
42: x: -0.855738, y: -0.41727, xCell: 1, yCell: 3
43: x: -0.864249, y: -0.350916, xCell: 1, yCell: 3
44: x: -0.860795, y: -0.34837, xCell: 1, yCell: 3
45: x: -0.853378, y: -0.301795, xCell: 1, yCell: 3
46: x: -0.846066, y: -0.283842, xCell: 1, yCell: 3
47: x: -0.845051, y: -0.278348, xCell: 1, yCell: 3
48: x: -0.84005, y: -0.283005, xCell: 1, yCell: 3
49: x: -0.852184, y: -0.271375, xCell: 1, yCell: 3
50: x: -0.824358, y: -0.282645, xCell: 2, yCell: 3
51: x: -0.831966, y: -0.273419, xCell: 1, yCell: 3
52: x: -0.848345, y: -0.268817, xCell: 1, yCell: 3
